dataset,model,chunk_size,retriever,top_k,em,f1,distraction_ratio,n_samples
nq,SmolLM2-360M,none,no_rag,0,0.01,0.0667,0.0,300
nq,SmolLM2-360M,256,faiss,1,0.0167,0.1004,0.0,300
nq,SmolLM2-360M,256,faiss,3,0.0167,0.1102,0.0,300
nq,SmolLM2-360M,256,faiss,5,0.0067,0.0945,0.3333,300
nq,Qwen3-0.6B,none,no_rag,0,0.0267,0.0735,0.0,300
nq,Qwen3-0.6B,256,faiss,1,0.1033,0.1731,0.0,300
nq,Qwen3-0.6B,256,faiss,3,0.1133,0.1889,0.0,300
nq,Qwen3-0.6B,256,faiss,5,0.1033,0.1853,0.0,300
nq,Gemma-2-2B,none,no_rag,0,0.1067,0.24,0.0,300
nq,Gemma-2-2B,256,faiss,1,0.0633,0.2206,0.441,300
nq,Gemma-2-2B,256,faiss,3,0.0667,0.2258,0.3752,300
nq,Gemma-2-2B,256,faiss,5,0.0567,0.2374,0.4999,300
nq,Qwen3-1.7B,none,no_rag,0,0.05,0.1372,0.0,300
nq,Qwen3-1.7B,256,faiss,1,0.0967,0.2146,0.0,300
nq,Qwen3-1.7B,256,faiss,3,0.13,0.2542,0.0,300
nq,Qwen3-1.7B,256,faiss,5,0.1167,0.2409,0.0,300
nq,Llama-3.2-1B,none,no_rag,0,0.04,0.1468,0.0,300
nq,Llama-3.2-1B,256,faiss,1,0.09,0.1931,0.0,300
nq,Llama-3.2-1B,256,faiss,3,0.1233,0.2068,0.0,300
nq,Llama-3.2-1B,256,faiss,5,0.13,0.2118,0.0,300
nq,Phi-3.5-mini,none,no_rag,0,0.0667,0.1842,0.0,300
nq,Phi-3.5-mini,256,faiss,1,0.1233,0.2544,0.0,300
nq,Phi-3.5-mini,256,faiss,3,0.1233,0.2604,0.0,300
nq,Phi-3.5-mini,256,faiss,5,0.1467,0.2766,0.0,300
triviaqa,SmolLM2-360M,none,no_rag,0,0.0233,0.1499,0.0,300
triviaqa,SmolLM2-360M,256,faiss,1,0.0367,0.2115,0.0,300
triviaqa,SmolLM2-360M,256,faiss,3,0.0467,0.2313,0.0,300
triviaqa,SmolLM2-360M,256,faiss,5,0.0333,0.2138,0.0,300
triviaqa,Qwen3-0.6B,none,no_rag,0,0.0833,0.166,0.0,300
triviaqa,Qwen3-0.6B,256,faiss,1,0.3133,0.3941,0.0,300
triviaqa,Qwen3-0.6B,256,faiss,3,0.36,0.4466,0.0,300
triviaqa,Qwen3-0.6B,256,faiss,5,0.3833,0.4684,0.0,300
triviaqa,Gemma-2-2B,none,no_rag,0,0.2067,0.4077,0.0,300
triviaqa,Gemma-2-2B,256,faiss,1,0.1633,0.4223,0.2222,300
triviaqa,Gemma-2-2B,256,faiss,3,0.1667,0.4352,0.1937,300
triviaqa,Gemma-2-2B,256,faiss,5,0.19,0.4711,0.0952,300
triviaqa,Qwen3-1.7B,none,no_rag,0,0.1733,0.2735,0.0,300
triviaqa,Qwen3-1.7B,256,faiss,1,0.38,0.4826,0.0,300
triviaqa,Qwen3-1.7B,256,faiss,3,0.46,0.5451,0.0,300
triviaqa,Qwen3-1.7B,256,faiss,5,0.4967,0.5845,0.0,300
triviaqa,Llama-3.2-1B,none,no_rag,0,0.15,0.3257,0.0,300
triviaqa,Llama-3.2-1B,256,faiss,1,0.3167,0.4378,0.0,300
triviaqa,Llama-3.2-1B,256,faiss,3,0.3933,0.5016,0.0,300
triviaqa,Llama-3.2-1B,256,faiss,5,0.4167,0.5266,0.0,300
triviaqa,Phi-3.5-mini,none,no_rag,0,0.31,0.4556,0.0,300
triviaqa,Phi-3.5-mini,256,faiss,1,0.4467,0.5832,0.0,300
triviaqa,Phi-3.5-mini,256,faiss,3,0.5233,0.6468,0.0,300
triviaqa,Phi-3.5-mini,256,faiss,5,0.54,0.6671,0.0,300
hotpotqa,SmolLM2-360M,none,no_rag,0,0.0067,0.0808,0.0,300
hotpotqa,SmolLM2-360M,256,faiss,1,0.03,0.1512,0.0,300
hotpotqa,SmolLM2-360M,256,faiss,3,0.02,0.1406,0.0,300
hotpotqa,SmolLM2-360M,256,faiss,5,0.0267,0.1483,0.0,300
hotpotqa,Qwen3-0.6B,none,no_rag,0,0.0533,0.1022,0.0,300
hotpotqa,Qwen3-0.6B,256,faiss,1,0.1667,0.2589,0.0,300
hotpotqa,Qwen3-0.6B,256,faiss,3,0.2067,0.2951,0.0,300
hotpotqa,Qwen3-0.6B,256,faiss,5,0.1933,0.2837,0.0,300
hotpotqa,Gemma-2-2B,none,no_rag,0,0.0533,0.1924,0.0,300
hotpotqa,Gemma-2-2B,256,faiss,1,0.12,0.3051,0.0,300
hotpotqa,Gemma-2-2B,256,faiss,3,0.14,0.3584,0.0,300
hotpotqa,Gemma-2-2B,256,faiss,5,0.1533,0.3795,0.0,300
hotpotqa,Qwen3-1.7B,none,no_rag,0,0.0433,0.1466,0.0,300
hotpotqa,Qwen3-1.7B,256,faiss,1,0.2533,0.3565,0.0,300
hotpotqa,Qwen3-1.7B,256,faiss,3,0.29,0.4202,0.0,300
hotpotqa,Qwen3-1.7B,256,faiss,5,0.3033,0.4334,0.0,300
hotpotqa,Llama-3.2-1B,none,no_rag,0,0.0167,0.1059,0.0,300
hotpotqa,Llama-3.2-1B,256,faiss,1,0.13,0.2477,0.0,300
hotpotqa,Llama-3.2-1B,256,faiss,3,0.1867,0.3231,0.0,300
hotpotqa,Llama-3.2-1B,256,faiss,5,0.1867,0.3197,0.0,300
hotpotqa,Phi-3.5-mini,none,no_rag,0,0.0733,0.1982,0.0,300
hotpotqa,Phi-3.5-mini,256,faiss,1,0.2233,0.375,0.0,300
hotpotqa,Phi-3.5-mini,256,faiss,3,0.2767,0.4591,0.0,300
hotpotqa,Phi-3.5-mini,256,faiss,5,0.27,0.4622,0.0,300
